"field" "id" "period" "subtype" "type"
"1" "SMC-SC1" 107 1.02945 "B2" "B"
"2" "SMC-SC1" 4486 1.37251 "B1" "B"
"3" "SMC-SC1" 4433 9.44995 "C1" "C"
"4" "SMC-SC1" 6021 1.22233 "B2" "B"
"5" "SMC-SC1" 1 14.3816 "C1" "C"
"6" "SMC-SC1" 25563 1.34096 "B2" "B"
"7" "SMC-SC1" 32343 1.41458 "B2" "B"
"8" "SMC-SC1" 33967 1.38818 "B2" "B"
"9" "SMC-SC1" 82243 2.10287 "B1" "B"
"10" "SMC-SC1" 67260 1.42301 "B2" "B"
"11" "SMC-SC1" 73532 1.26919 "B2" "B"
"12" "SMC-SC1" 62200 1.12895 "B2" "B"
"13" "SMC-SC1" 60542 8.49466 "C1" "C"
"14" "SMC-SC1" 69199 36.9346 "B1" "B"
"15" "SMC-SC1" 58970 1.22545 "B2" "B"
"16" "SMC-SC1" 56954 7.94111 "C2" "C"
"17" "SMC-SC1" 92313 2.11317 "B1" "B"
"18" "SMC-SC1" 92279 2.13118 "B1" "B"
"19" "SMC-SC1" 110552 3.4891 "B1" "B"
"20" "SMC-SC1" 93875 1.36891 "B2" "B"
"21" "SMC-SC1" 95571 1.21625 "B2" "B"
"22" "SMC-SC2" 1423 1.21624 "B2" "B"
"23" "SMC-SC2" 1 17.9384 "B2" "B"
"24" "SMC-SC2" 1415 1.2653 "B2" "B"
"25" "SMC-SC2" 4348 1.27438 "C1" "C"
"26" "SMC-SC2" 5859 1.47203 "B1" "B"
"27" "SMC-SC2" 19807 1.88309 "B2" "B"
"28" "SMC-SC2" 5860 1.65263 "B1" "B"
"29" "SMC-SC2" 27122 3.76261 "B2" "B"
"30" "SMC-SC2" 46803 1.47941 "B1" "B"
"31" "SMC-SC2" 33324 1.73097 "B1" "B"
"32" "SMC-SC2" 27109 10.3333 "C2" "C"
"33" "SMC-SC2" 41579 3.16803 "B1" "B"
"34" "SMC-SC2" 51383 4.91551 "B1" "B"
"35" "SMC-SC2" 35276 17.4625 "C1" "C"
"36" "SMC-SC2" 41638 1.91339 "B1" "B"
"37" "SMC-SC2" 45031 1.62155 "B3" "B"
"38" "SMC-SC2" 41552 13.4788 "C2" "C"
"39" "SMC-SC2" 38071 2.23258 "B1" "B"
"40" "SMC-SC2" 35278 10.2882 "A2" "A"
"41" "SMC-SC2" 25556 28.4401 "B1" "B"
"42" "SMC-SC2" 39795 2.24815 "B1" "B"
"43" "SMC-SC2" 39846 2.01782 "B1" "B"
"44" "SMC-SC2" 56560 13.0956 "C1" "C"
"45" "SMC-SC2" 60006 1.47401 "B2" "B"
"46" "SMC-SC2" 66046 1.63027 "B2" "B"
"47" "SMC-SC2" 56586 2.30616 "B1" "B"
"48" "SMC-SC2" 71337 1.52691 "B1" "B"
"49" "SMC-SC2" 66150 1.46178 "B2" "B"
"50" "SMC-SC2" 71454 0.98237 "B1" "B"
"51" "SMC-SC2" 67822 1.46662 "B2" "B"
"52" "SMC-SC2" 95023 1.81207 "B2" "B"
"53" "SMC-SC2" 103616 1.72017 "B2" "B"
"54" "SMC-SC2" 94960 3.1652 "B1" "B"
"55" "SMC-SC2" 92683 1.68509 "B2" "B"
"56" "SMC-SC2" 79513 12.413 "C1" "C"
"57" "SMC-SC2" 99296 2.1663 "B1" "B"
"58" "SMC-SC2" 88274 2.47456 "B1" "B"
"59" "SMC-SC2" 99309 1.9988 "B1" "B"
"60" "SMC-SC2" 84516 16.7388 "C1" "C"
"61" "SMC-SC2" 99333 1.4582 "B2" "B"
"62" "SMC-SC2" 105380 1.56609 "B2" "B"
"63" "SMC-SC2" 86378 10.6825 "C1" "C"
"64" "SMC-SC2" 101614 1.39003 "B2" "B"
"65" "SMC-SC2" 88311 2.40537 "B1" "B"
"66" "SMC-SC2" 92630 1.30514 "B2" "B"
"67" "SMC-SC2" 82908 2.02482 "B3" "B"
"68" "SMC-SC2" 103569 2.06634 "B1" "B"
"69" "SMC-SC2" 92589 8.84122 "C1" "C"
"70" "SMC-SC2" 105321 2.74747 "B1" "B"
"71" "SMC-SC2" 90389 1.45565 "B3" "B"
"72" "SMC-SC2" 99503 1.27595 "B2" "B"
"73" "SMC-SC2" 101500 1.47753 "B2" "B"
"74" "SMC-SC2" 79531 4.38857 "B1" "B"
"75" "SMC-SC3" 35855 1.65111 "B2" "B"
"76" "SMC-SC2" 101512 1.65175 "B2" "B"
"77" "SMC-SC2" 90387 2.31577 "B2" "B"
"78" "SMC-SC3" 15993 2.31584 "B2" "B"
"79" "SMC-SC2" 107212 1.75429 "B2" "B"
"80" "SMC-SC3" 43000 1.75421 "B2" "B"
"81" "SMC-SC3" 43007 2.1663 "B3" "B"
"82" "SMC-SC3" 12578 1.29508 "B2" "B"
"83" "SMC-SC3" 35940 1.3125 "B2" "B"
"84" "SMC-SC3" 28040 2.01134 "B2" "B"
"85" "SMC-SC3" 24210 2.18975 "B1" "B"
"86" "SMC-SC3" 5683 4.26218 "B2" "B"
"87" "SMC-SC3" 35959 1.34458 "B1" "B"
"88" "SMC-SC3" 16099 1.08234 "B2" "B"
"89" "SMC-SC3" 28026 3.24153 "B3" "B"
"90" "SMC-SC3" 32059 2.0082 "B1" "B"
"91" "SMC-SC3" 32039 6.30786 "B2" "B"
"92" "SMC-SC3" 32057 1.51254 "B1" "B"
"93" "SMC-SC3" 28071 1.73099 "B3" "B"
"94" "SMC-SC3" 96 1.38054 "B1" "B"
"95" "SMC-SC3" 19968 6.22889 "C1" "C"
"96" "SMC-SC3" 28166 1.61426 "B2" "B"
"97" "SMC-SC3" 42967 1.58771 "B2" "B"
"98" "SMC-SC3" 32080 1.3 "B2" "B"
"99" "SMC-SC3" 28018 1.85081 "B1" "B"
"100" "SMC-SC3" 28219 1.1884 "B2" "B"
"101" "SMC-SC3" 12583 1.74621 "B2" "B"
"102" "SMC-SC3" 2872 8.39701 "C1" "C"
