Title: The Influential Effect of Blending, Bump, Changing 
       Period, and Eclipsing Cepheids on the Leavitt Law  
Authors: Garcia-Varela A., Munoz J.R., Sabogal B.E., 
         Vargas Dominguez S., Martinez J.
Table: Bi-dimensional classification of OGLE-II Magellanic Clouds Cepheids
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label   Explanations
--------------------------------------------------------------------------------
   1-  2 I2     h      RAh     Hour of Right Ascension (J2000)
   4-  5 I2     min    RAm     Minute of Right Ascension (J2000)
   7- 11 F5.2   s      RAs     Second of Right Ascension (J2000)
  13- 13 A1     ---    DE-     Sign of the Declination (J2000)
  14- 15 I2     deg    DEd     Degree of Declination (J2000)
  17- 18 I2     arcmin DEm     Arcminude of Declination (J2000)
  20- 23 F4.1   arcsec DEs     Arcsecond of Declination (J2000)
  25- 32 A8     ---    OGLE    THe OGLE-II field (1)
  34- 39 I6     ---    ID      THe OGLE-II identifier
  41- 48 F8.5   d      Period  Period 
  50- 52 A3     ---    Class   The bi-dimensional class (2)
--------------------------------------------------------------------------------
Note (1): These data were reported for the LMC by 
          Udalski et al. (1999a) [1999AcA....49..223U], and for the SMC by 
          Udalski et al. (1999b) [1999AcA....49..437U].
Note (2): An appended "i" identifies the influential Cepheids.
--------------------------------------------------------------------------------
00 36 10.41 -73 56 39.9 SMC-SC1     107  1.02945 B2i
00 36 11.28 -73 45 01.6 SMC-SC1    4486  1.37251 B1 
00 36 18.22 -73 46 24.2 SMC-SC1    4433  9.44995 C1i
00 36 26.93 -73 43 35.9 SMC-SC1    6021  1.22233 B2 
00 36 55.83 -73 56 27.2 SMC-SC1       1 14.3816  C1i
00 36 56.04 -73 04 23.2 SMC-SC1   25563  1.34096 B2 
00 37 31.19 -73 45 54.3 SMC-SC1   32343  1.41458 B2 
00 37 41.07 -73 43 04.8 SMC-SC1   33967  1.38818 B2i
00 37 58.89 -73 10 23.3 SMC-SC1   82243  2.10287 B1 
00 38 01.15 -73 34 32.2 SMC-SC1   67260  1.42301 B2 
00 38 11.63 -73 24 59.9 SMC-SC1   73532  1.26919 B2 
00 38 13.97 -73 43 55.7 SMC-SC1   62200  1.12895 B2 
