"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X32" "X33" "X34" "X35" "X36" "X37" "X38" "X39" "X40" "X41" "X42" "X43" "X44" "X45" "X46" "X47" "X48" "X49" "X50" "route"
"./data/SMC-SC1-107.dat" 17.83 17.83 17.851 17.816 17.816 17.846 17.895 17.851 17.818 17.885 17.875 17.831 17.833 17.822 17.822 17.849 17.883 17.816 17.778 17.707 17.655 17.52 17.52 17.464 17.472 17.458 17.518 17.518 17.475 17.61 17.559 17.604 17.598 17.659 17.666 17.685 17.691 17.691 17.71 17.724 17.772 17.777 17.777 17.77 17.819 17.801 17.781 17.833 17.803 17.854 "./data/SMC-SC1-107.dat"
"./data/SMC-SC1-4486.dat" 16.725 16.773 16.762 16.781 16.819 16.819 16.819 16.862 16.85 16.909 16.909 16.909 16.98 16.952 16.995 16.999 17.043 17.035 16.999 16.999 17.06 17.06 17.078 17.101 17.111 17.101 17.104 17.133 17.133 17.134 17.106 17.166 17.155 17.154 17.154 17.162 17.164 17.201 17.204 17.15 16.968 16.57 16.58 16.518 16.48 16.48 16.642 16.591 16.679 16.713 "./data/SMC-SC1-4486.dat"
"./data/SMC-SC1-4433.dat" 14.339 14.346 14.378 14.385 14.399 14.428 14.411 14.411 14.439 14.391 14.34 14.314 14.331 14.203 14.129 14.129 14.032 13.943 13.909 13.914 13.917 13.937 13.938 13.939 13.993 13.959 13.979 13.976 13.982 13.979 13.973 13.918 13.963 13.992 13.981 14.066 14.061 14.078 14.161 14.154 14.188 14.165 14.195 14.216 14.264 14.271 14.268 14.299 14.317 14.34 "./data/SMC-SC1-4433.dat"
"./data/SMC-SC1-6021.dat" 17.441 17.439 17.401 17.36 17.433 17.415 17.363 17.313 17.237 17.19 17.19 17.101 17.071 17.067 17.067 17.126 17.144 17.139 17.148 17.145 17.183 17.205 17.232 17.22 17.289 17.272 17.26 17.281 17.286 17.282 17.257 17.344 17.291 17.27 17.268 17.382 17.353 17.409 17.33 17.402 17.368 17.398 17.376 17.368 17.409 17.411 17.376 17.447 17.383 17.444 "./data/SMC-SC1-6021.dat"
"./data/SMC-SC1-1.dat" 13.87 13.837 13.857 13.837 13.866 13.86 13.884 13.888 13.874 13.939 13.931 13.93 13.965 14.021 14.005 14.029 14.087 14.082 14.089 14.157 14.125 14.193 14.189 14.176 14.196 14.18 14.17 14.177 14.188 14.139 14.139 14.147 14.148 14.144 14.134 14.141 14.116 13.904 13.877 13.756 13.737 13.737 13.771 13.786 13.786 13.846 13.839 13.839 13.844 13.824 "./data/SMC-SC1-1.dat"
"./data/SMC-SC1-25563.dat" 17.235 17.231 17.239 17.27 17.232 17.242 17.271 17.28 17.107 16.905 16.873 16.666 16.65 16.692 16.682 16.74 16.801 16.856 16.85 16.884 16.884 16.903 16.893 16.937 16.957 16.951 17.013 17.028 17.021 17.089 17.052 17.089 17.07 17.128 17.099 17.112 17.134 17.204 17.133 17.168 17.195 17.175 17.214 17.176 17.175 17.21 17.236 17.228 17.219 17.244 "./data/SMC-SC1-25563.dat"
"./data/SMC-SC1-32343.dat" 16.865 16.904 16.909 16.884 16.929 16.941 16.944 16.942 16.963 17.012 17.012 16.999 17.03 17.037 17.021 17.068 17.047 17.106 17.077 17.086 17.129 17.106 17.109 17.137 17.156 17.146 17.16 17.133 17.147 17.155 17.154 17.181 17.161 17.17 17.169 17.147 17.173 17.192 17.177 17.175 17.161 17.204 17.164 17.112 17.07 17.014 16.981 16.906 16.878 16.855 "./data/SMC-SC1-32343.dat"
"./data/SMC-SC1-33967.dat" 17.287 17.32 17.349 17.332 17.32 17.3 17.283 17.321 17.346 17.392 17.374 17.401 17.376 17.368 17.358 17.408 17.371 17.446 17.418 17.373 17.393 17.422 17.39 17.397 17.392 17.36 17.376 17.315 17.307 17.283 17.229 17.199 17.186 17.191 17.165 17.171 17.186 17.193 17.206 17.196 17.218 17.214 17.238 17.252 17.224 17.277 17.253 17.29 17.25 17.307 "./data/SMC-SC1-33967.dat"
"./data/SMC-SC1-82243.dat" 16.536 16.438 16.359 16.359 16.181 16.12 16.166 16.171 16.213 16.217 16.243 16.247 16.278 16.289 16.311 16.322 16.347 16.33 16.342 16.342 16.414 16.399 16.404 16.428 16.428 16.439 16.472 16.472 16.515 16.487 16.512 16.522 16.515 16.54 16.553 16.557 16.547 16.552 16.591 16.575 16.623 16.604 16.635 16.648 16.661 16.669 16.664 16.658 16.617 16.547 "./data/SMC-SC1-82243.dat"
"./data/SMC-SC1-67260.dat" 17.167 17.215 17.191 17.222 17.225 17.232 17.213 17.272 17.254 17.304 17.275 17.305 17.341 17.297 17.305 17.293 17.294 17.332 17.327 17.324 17.324 17.343 17.356 17.35 17.163 16.968 16.813 16.813 16.676 16.697 16.795 16.775 16.857 16.836 16.882 16.91 16.908 16.929 16.98 17.012 17.023 17.068 17.064 17.079 17.078 17.082 17.126 17.144 17.125 17.142 "./data/SMC-SC1-67260.dat"
"./data/SMC-SC1-73532.dat" 16.794 16.816 16.851 16.848 16.842 16.888 16.892 16.899 16.935 16.966 16.966 16.969 16.969 17.005 17.043 17.041 17.02 17.062 17.107 17.115 17.06 17.105 17.085 17.142 17.165 17.17 17.148 17.174 17.191 17.199 17.175 17.183 17.19 17.211 17.172 17.148 17.193 17.142 17.225 17.246 17.152 16.95 16.853 16.692 16.587 16.629 16.671 16.697 16.744 16.773 "./data/SMC-SC1-73532.dat"
"./data/SMC-SC1-62200.dat" 17.504 17.503 17.579 17.579 17.552 17.572 17.603 17.522 17.539 17.597 17.611 17.54 17.595 17.665 17.602 17.642 17.637 17.587 17.603 17.553 17.543 17.587 17.583 17.527 17.429 17.344 17.16 17.16 17.151 17.189 17.191 17.25 17.231 17.331 17.331 17.331 17.378 17.37 17.356 17.344 17.381 17.381 17.453 17.416 17.4 17.474 17.439 17.449 17.504 17.504 "./data/SMC-SC1-62200.dat"
"./data/SMC-SC1-60542.dat" 14.698 14.698 14.721 14.723 14.737 14.742 14.733 14.718 14.709 14.671 14.664 14.581 14.558 14.467 14.382 14.295 14.258 14.231 14.207 14.216 14.24 14.243 14.271 14.271 14.293 14.311 14.345 14.309 14.326 14.328 14.33 14.34 14.342 14.36 14.393 14.399 14.439 14.463 14.495 14.537 14.553 14.56 14.572 14.576 14.601 14.62 14.632 14.656 14.679 14.684 "./data/SMC-SC1-60542.dat"
"./data/SMC-SC1-69199.dat" 12.977 12.977 13.003 12.999 13.008 13.011 12.991 12.981 12.983 12.929 12.916 12.889 12.84 12.835 12.801 12.788 12.728 12.737 12.728 12.718 12.706 12.709 12.72 12.722 12.709 12.733 12.733 12.726 12.745 12.751 12.747 12.761 12.77 12.778 12.778 12.81 12.829 12.836 12.845 12.845 12.873 12.89 12.882 12.899 12.917 12.937 12.943 12.954 12.975 12.987 "./data/SMC-SC1-69199.dat"
"./data/SMC-SC1-58970.dat" 17.401 17.395 17.415 17.424 17.405 17.477 17.478 17.436 17.471 17.471 17.477 17.482 17.468 17.476 17.535 17.467 17.513 17.481 17.494 17.492 17.464 17.495 17.502 17.4 17.224 16.976 16.818 16.856 16.878 16.858 16.936 16.991 17.059 17.038 17.085 17.091 17.144 17.145 17.162 17.191 17.228 17.226 17.257 17.269 17.24 17.292 17.314 17.357 17.368 17.382 "./data/SMC-SC1-58970.dat"
"./data/SMC-SC1-56954.dat" 14.903 14.908 14.899 14.909 14.88 14.865 14.834 14.857 14.752 14.703 14.717 14.66 14.605 14.523 14.522 14.518 14.497 14.536 14.518 14.518 14.552 14.609 14.584 14.548 14.573 14.566 14.555 14.573 14.559 14.541 14.554 14.581 14.602 14.623 14.642 14.687 14.694 14.675 14.711 14.699 14.699 14.733 14.743 14.769 14.769 14.769 14.857 14.865 14.865 14.898 "./data/SMC-SC1-56954.dat"
"./data/SMC-SC1-92313.dat" 16.35 16.387 16.391 16.416 16.442 16.411 16.411 16.466 16.482 16.507 16.504 16.51 16.52 16.523 16.554 16.564 16.577 16.608 16.609 16.609 16.622 16.622 16.66 16.608 16.653 16.64 16.664 16.687 16.688 16.724 16.685 16.732 16.721 16.717 16.773 16.749 16.783 16.789 16.735 16.705 16.705 16.542 16.497 16.356 16.305 16.275 16.26 16.317 16.316 16.352 "./data/SMC-SC1-92313.dat"
"./data/SMC-SC1-92279.dat" 16.896 16.92 16.96 16.928 16.923 16.77 16.607 16.341 16.163 16.147 16.17 16.222 16.271 16.285 16.289 16.355 16.348 16.42 16.399 16.437 16.467 16.491 16.494 16.52 16.509 16.569 16.577 16.592 16.624 16.63 16.61 16.661 16.675 16.685 16.687 16.697 16.707 16.719 16.721 16.77 16.787 16.74 16.789 16.789 16.824 16.792 16.851 16.88 16.879 16.949 "./data/SMC-SC1-92279.dat"
"./data/SMC-SC1-110552.dat" 15.879 15.874 15.88 15.904 15.909 15.93 15.945 15.954 15.967 15.998 16.016 16.001 16.043 16.013 16.078 16.08 16.093 16.095 16.091 16.008 15.967 15.672 15.52 15.42 15.435 15.427 15.456 15.464 15.518 15.546 15.579 15.587 15.608 15.633 15.633 15.669 15.684 15.69 15.706 15.727 15.73 15.747 15.762 15.784 15.81 15.815 15.831 15.845 15.84 15.902 "./data/SMC-SC1-110552.dat"
"./data/SMC-SC1-93875.dat" 17.361 17.312 17.162 17.078 17.001 16.979 17.019 16.998 17.059 17.104 17.054 17.054 17.126 17.145 17.145 17.153 17.153 17.202 17.216 17.193 17.23 17.262 17.271 17.225 17.264 17.286 17.277 17.292 17.363 17.292 17.329 17.375 17.38 17.41 17.383 17.362 17.342 17.379 17.365 17.375 17.424 17.413 17.386 17.399 17.401 17.409 17.419 17.456 17.417 17.364 "./data/SMC-SC1-93875.dat"
"./data/SMC-SC1-95571.dat" 17.277 17.26 17.249 17.297 17.299 17.295 17.335 17.277 17.322 17.352 17.329 17.362 17.369 17.337 17.355 17.379 17.363 17.401 17.381 17.422 17.393 17.389 17.397 17.357 17.365 17.34 17.367 17.348 17.409 17.304 17.211 17.177 16.991 17.012 16.95 16.951 17.001 17.065 17.048 17.031 17.103 17.103 17.081 17.14 17.129 17.175 17.144 17.196 17.239 17.187 "./data/SMC-SC1-95571.dat"
"./data/SMC-SC2-1423.dat" 17.191 17.146 16.989 16.95 16.988 16.975 17.019 17.051 17.083 17.064 17.099 17.099 17.133 17.169 17.181 17.171 17.242 17.239 17.238 17.231 17.302 17.302 17.252 17.321 17.344 17.296 17.33 17.33 17.338 17.36 17.338 17.394 17.37 17.414 17.394 17.394 17.417 17.419 17.426 17.448 17.414 17.399 17.363 17.398 17.422 17.399 17.425 17.385 17.325 17.184 "./data/SMC-SC2-1423.dat"
